V1,V2,V3,V4,V5,V6,V7,Class
V1-1,V2-1,V3-1,V4-0,V5-0,1,1,1
V1-0,V2-0,V3-1,V4-0,V5-0,1,0,2
V1-1,V2-0,V3-1,V4-1,V5-0,1,1,4
V1-1,V2-1,V3-1,V4-1,V5-0,1,1,10
V1-0,V2-1,V3-1,V4-1,V5-0,1,0,5
V1-1,V2-0,V3-0,V4-0,V5-0,1,1,6
V1-1,V2-1,V3-1,V4-1,V5-1,1,1,9
V1-1,V2-1,V3-1,V4-1,V5-0,1,1,10
V1-1,V2-1,V3-1,V4-1,V5-1,1,1,1
V1-1,V2-0,V3-1,V4-1,V5-0,1,1,4
V1-1,V2-1,V3-0,V4-1,V5-1,1,1,7
V1-1,V2-1,V3-0,V4-1,V5-1,1,1,7
V1-1,V2-0,V3-1,V4-1,V5-0,1,0,8
V1-1,V2-1,V3-1,V4-1,V5-1,1,1,9
V1-1,V2-1,V3-1,V4-0,V5-1,1,1,10
V1-1,V2-1,V3-1,V4-1,V5-0,1,0,10
V1-1,V2-1,V3-1,V4-1,V5-1,1,1,10
V1-1,V2-1,V3-1,V4-0,V5-1,1,1,1
V1-0,V2-0,V3-1,V4-0,V5-0,1,0,2
V1-1,V2-0,V3-1,V4-0,V5-1,0,0,3
V1-1,V2-0,V3-1,V4-1,V5-1,1,1,4
V1-0,V2-1,V3-1,V4-0,V5-0,1,0,5
V1-0,V2-1,V3-1,V4-1,V5-0,1,0,5
V1-1,V2-1,V3-0,V4-1,V5-1,1,1,7
V1-1,V2-0,V3-0,V4-0,V5-0,1,0,8
V1-1,V2-0,V3-1,V4-0,V5-0,1,0,8
V1-1,V2-1,V3-0,V4-1,V5-0,1,1,9
V1-1,V2-1,V3-1,V4-0,V5-1,1,1,1
V1-0,V2-0,V3-1,V4-0,V5-0,1,0,2
V1-0,V2-0,V3-0,V4-1,V5-1,0,0,3
V1-1,V2-0,V3-1,V4-1,V5-0,0,1,4
V1-1,V2-0,V3-1,V4-1,V5-0,1,1,4
V1-0,V2-1,V3-0,V4-1,V5-0,1,0,5
V1-1,V2-1,V3-0,V4-1,V5-1,1,1,7
V1-1,V2-0,V3-1,V4-1,V5-0,1,1,9
V1-1,V2-1,V3-1,V4-1,V5-1,0,1,9
V1-1,V2-1,V3-1,V4-1,V5-0,1,1,10
V1-1,V2-1,V3-0,V4-0,V5-1,1,1,1
V1-1,V2-1,V3-1,V4-0,V5-1,1,1,1
V1-1,V2-1,V3-0,V4-0,V5-0,1,1,6
V1-1,V2-1,V3-0,V4-1,V5-0,1,1,6
V1-1,V2-1,V3-0,V4-1,V5-0,1,1,6
V1-0,V2-0,V3-1,V4-0,V5-0,1,0,8
V1-1,V2-0,V3-1,V4-0,V5-0,1,0,8
V1-0,V2-1,V3-1,V4-1,V5-1,1,1,9
V1-1,V2-1,V3-1,V4-1,V5-1,1,0,9
V1-1,V2-1,V3-1,V4-1,V5-0,1,1,10
V1-1,V2-1,V3-1,V4-1,V5-0,1,1,10
V1-1,V2-1,V3-1,V4-1,V5-0,1,1,10
V1-1,V2-1,V3-1,V4-0,V5-1,0,1,1
V1-0,V2-0,V3-1,V4-0,V5-1,1,0,2
V1-0,V2-0,V3-1,V4-0,V5-1,1,0,2
V1-1,V2-0,V3-1,V4-1,V5-0,0,1,3
V1-1,V2-0,V3-1,V4-1,V5-1,0,1,3
V1-0,V2-1,V3-1,V4-1,V5-0,1,0,5
V1-0,V2-1,V3-1,V4-1,V5-1,1,0,5
V1-1,V2-1,V3-0,V4-1,V5-1,1,1,7
V1-1,V2-0,V3-1,V4-0,V5-0,1,0,8
V1-0,V2-1,V3-0,V4-1,V5-1,1,1,9
V1-0,V2-0,V3-1,V4-0,V5-1,1,1,1
V1-1,V2-0,V3-1,V4-1,V5-0,0,1,4
V1-1,V2-0,V3-1,V4-1,V5-0,1,1,4
V1-1,V2-0,V3-1,V4-1,V5-0,1,1,4
V1-0,V2-1,V3-1,V4-1,V5-0,1,0,5
V1-1,V2-1,V3-0,V4-1,V5-0,0,1,6
V1-1,V2-0,V3-1,V4-0,V5-0,1,0,8
V1-1,V2-1,V3-1,V4-1,V5-1,1,1,9
V1-1,V2-1,V3-1,V4-0,V5-1,1,1,1
V1-0,V2-0,V3-1,V4-0,V5-0,1,0,2
V1-1,V2-0,V3-1,V4-1,V5-1,0,1,3
V1-1,V2-1,V3-1,V4-1,V5-0,0,1,3
V1-1,V2-1,V3-1,V4-1,V5-0,1,1,4
V1-1,V2-1,V3-1,V4-1,V5-0,1,0,5
V1-1,V2-1,V3-0,V4-1,V5-0,1,1,6
V1-1,V2-0,V3-1,V4-0,V5-0,1,0,8
V1-1,V2-1,V3-1,V4-0,V5-0,1,1,10
V1-1,V2-0,V3-1,V4-1,V5-1,0,1,3
V1-1,V2-1,V3-1,V4-1,V5-1,0,1,3
V1-1,V2-0,V3-1,V4-1,V5-0,1,1,4
V1-0,V2-0,V3-1,V4-1,V5-0,0,0,5
V1-0,V2-1,V3-1,V4-1,V5-0,1,0,5
V1-0,V2-1,V3-1,V4-1,V5-0,1,0,5
V1-1,V2-1,V3-0,V4-1,V5-0,1,1,6
V1-0,V2-1,V3-0,V4-1,V5-1,1,0,7
V1-1,V2-1,V3-1,V4-1,V5-1,1,1,7
V1-1,V2-0,V3-1,V4-0,V5-0,1,0,8
V1-1,V2-0,V3-1,V4-0,V5-1,1,0,8
V1-0,V2-1,V3-1,V4-0,V5-0,1,1,9
V1-1,V2-1,V3-1,V4-1,V5-0,1,0,10
V1-1,V2-1,V3-1,V4-1,V5-0,1,1,10
V1-1,V2-1,V3-1,V4-1,V5-1,0,0,3
V1-1,V2-1,V3-0,V4-1,V5-1,1,1,7
V1-1,V2-0,V3-1,V4-0,V5-0,1,1,10
V1-1,V2-1,V3-0,V4-1,V5-0,1,1,10
V1-1,V2-1,V3-0,V4-1,V5-1,1,1,7
V1-0,V2-0,V3-1,V4-0,V5-0,1,0,2
V1-1,V2-0,V3-1,V4-0,V5-0,1,0,8
V1-0,V2-0,V3-1,V4-1,V5-1,0,1,3
V1-1,V2-1,V3-0,V4-1,V5-0,1,1,6
V1-1,V2-1,V3-1,V4-0,V5-0,1,0,5
